This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
24;08:31:10.0;5.88235;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.88;14.1176;0.005;0;2.16711;0.996442;1.00357;0;13.4;;;2.34111;7.65494;5.63021;45.5475;14.7471
25;08:31:11.0;5.88235;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.8;13.7255;0.005;0;2.16711;0.996442;1.00357;0;13.4;;;2.31389;7.56593;5.56474;45.0179;14.7471
26;08:31:12.0;5.88235;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.8;13.7255;0.005;0;2.14209;1.00122;0.998779;0;13.5;;;2.31389;7.56593;5.56474;45.0179;14.7381
27;08:31:13.0;5.4902;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.8;13.7255;0.005;0;2.14209;1.00122;0.998779;0;13.5;;;2.31389;7.56593;5.56474;45.0179;14.7381
28;08:31:14.0;5.4902;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.8;13.7255;0.005;0;2.14209;1.00122;0.998779;0;13.5;;;2.31389;7.56593;5.56474;45.0179;14.7381
29;08:31:15.0;5.4902;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.74;13.7255;0.02;0;2.14209;1.00122;0.998779;0;13.5;;;2.29347;7.49917;5.51564;44.6207;14.7381
30;08:31:16.0;5.4902;47;-9.3744;-2.3436;42;-0.59325;1196.75;0;0;16;18;6.74;13.7255;0.02;0;2.22217;0.978646;1.02182;0;13.3;;;2.29347;7.49917;5.51564;44.6207;14.7045
31;08:31:17.011;5.4902;48;-9.3744;-2.3436;42;-0.59325;1150;0;0;16;18;6.74;13.7255;0.02;0;2.22217;0.978646;1.02182;0;13.3;;;2.29347;7.49917;5.51564;44.6207;14.7045
32;08:31:18.0;5.4902;48;-9.3744;-2.3436;42;-0.59325;1150;0;0;16;18;6.42;13.7255;0.02;0;2.22217;0.978646;1.02182;0;13.3;;;2.18458;7.14312;5.25377;44.23;14.7045
33;08:31:19.0;5.4902;48;-9.3744;-2.3436;42;-0.59325;1150;0;0;16;18;6.42;13.7255;0.08;0;2.13708;1.00346;0.996552;0;13.3;;;2.18458;7.14312;5.25377;44.23;14.7045
